[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 12:52:42.323	[31merror[0m	D:/project/caishuji/caishuji/backend/server/api/v1/system/sys_menu.go:143	添加失败!	{"error": "存在重复name，请修改name"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 12:56:18.831	[31merror[0m	D:/project/caishuji/caishuji/backend/server/initialize/gorm.go:59	register table failed	{"error": "Error 1068 (42000): Multiple primary key defined"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 13:31:30.601	[31merror[0m	D:/project/caishuji/caishuji/backend/server/api/v1/user/users.go:117	查询失败!	{"error": "Error 1054 (42S22): Unknown column 'id' in 'where clause'"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 13:31:38.224	[31merror[0m	D:/project/caishuji/caishuji/backend/server/api/v1/user/users.go:117	查询失败!	{"error": "Error 1054 (42S22): Unknown column 'id' in 'where clause'"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 13:39:49.025	[31merror[0m	D:/project/caishuji/caishuji/backend/server/api/v1/user/users.go:117	查询失败!	{"error": "Error 1054 (42S22): Unknown column 'id' in 'where clause'"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 13:41:18.526	[31merror[0m	D:/project/caishuji/caishuji/backend/server/api/v1/user/users.go:117	查询失败!	{"error": "Error 1054 (42S22): Unknown column 'id' in 'where clause'"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 13:45:19.536	[31merror[0m	D:/project/caishuji/caishuji/backend/server/api/v1/user/users.go:117	查询失败!	{"error": "Error 1054 (42S22): Unknown column 'id' in 'where clause'"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 14:13:48.576	[31merror[0m	D:/project/caishuji/caishuji/backend/server/api/v1/user/users.go:116	查询失败!	{"error": "Error 1054 (42S22): Unknown column 'users.id' in 'order clause'"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 15:00:22.743	[31merror[0m	D:/project/caishuji/caishuji/server/initialize/gorm.go:59	register table failed	{"error": "Error 1068 (42000): Multiple primary key defined"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 17:06:36.680	[31merror[0m	D:/project/caishuji/caishuji/server/api/v1/csj_customers/customers.go:117	查询失败!	{"error": "Error 1054 (42S22): Unknown column 'id' in 'where clause'"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 17:07:46.356	[31merror[0m	D:/project/caishuji/caishuji/server/api/v1/csj_customers/customers.go:117	查询失败!	{"error": "record not found"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 17:10:03.109	[31merror[0m	D:/project/caishuji/caishuji/server/api/v1/csj_customers/customers.go:117	查询失败!	{"error": "record not found"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 17:10:47.822	[31merror[0m	D:/project/caishuji/caishuji/server/api/v1/csj_customers/customers.go:117	查询失败!	{"error": "record not found"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 17:11:11.488	[31merror[0m	D:/project/caishuji/caishuji/server/api/v1/csj_customers/customers.go:117	查询失败!	{"error": "record not found"}
[github.com/flipped-aurora/gin-vue-admin/server]2024-06-23 17:11:39.488	[31merror[0m	D:/project/caishuji/caishuji/server/api/v1/csj_customers/customers.go:117	查询失败!	{"error": "record not found"}
